Red,,Blue,
X,Y,X,Y
4.811749901727126,9.631668734491313,72.75065528032331,71.9823976426799
10.121208305694097,15.173955748552487,78.70401521386628,78.12965260545906
14.540845998759266,20.784545595533473,83.56106395912155,85.22095029466499
19.072723091444686,27.05725474122653,88.06507097033034,91.28979639312297
25.67072982693736,32.10330076509513,93.81536488403799,96.4543269230769
33.19152867520006,37.42116418527709,102.68917812415549,100.6988601116625
39.89963128965462,43.56232068083125,111.56226679390949,105.08975651364761
46.608156570154506,49.6180986352357,122.05187194432841,109.62701612903223
54.40018625776963,54.594447890818856,131.66375890458153,113.27279071734714
62.46248069091956,59.42443393300246,136.96153745385777,119.68948705024812
70.11503058358721,65.35214407568236,141.64836046841344,125.77575734077746
79.38786472280913,70.66512872208438,146.1989944450885,132.14865559088088
85.02342809498072,75.67075062034738,151.82905712058482,138.2654182175351
95.52728312921238,77.32953370554176,160.70444026315624,142.19283111042182
104.40206246314762,81.37891594292802,170.38234546401674,147.35213438275431
113.71779775488403,85.45047442476874,180.05934495192304,152.6943916718362
123.77182084436339,88.88003062965257,189.3696624334424,157.86034781750504
133.456428321085,92.6854741780397,199.78410987617065,162.73025109970672
142.7941477363462,96.55887207550512,209.00731972817317,167.34290994623655
152.83234555038933,98.94250155086846,218.77766803122614,171.9777450372208
162.5291258092155,100.28904311414391,229.27171117512063,175.61852997053347
172.2283696072771,101.13794975186102,237.77702274918863,180.05433326753888
181.92638163572093,102.23567385235731,246.56691756722194,186.40117443040828
189.2021549394393,102.60158188585606,255.2323970668624,191.1513259925558
,,265.2895303197347,195.9325242969396
,,275.24705929999016,199.054939516129
,,284.95050560615925,199.054939516129
,,294.24203366075596,200.59175325682378
,,299.4669105509728,206.88537143300243
,,304.2907377450679,212.52035514888334
,,309.5215923407825,217.6064768145161
,,314.76730062894626,219.692152605459
